approvedSymbol	ID	targetId	maxPhaseChEMBL	geneticScore	UMAP 1	UMAP 2	UMAP 3	cluster
NUMA1	R-HSA-69278,R-HSA-1640170	ENSG00000137497		0.3039653988058105	11.053769	3.1394439	2.0395231	-1
RB1	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-9764265,R-HSA-9764274,R-HSA-2559585,R-HSA-421270,R-HSA-418990,R-HSA-9759476,R-HSA-446728,R-HSA-1500931,R-HSA-2559583,R-HSA-8953897,R-HSA-1643685,R-HSA-9764560,R-HSA-69278,R-HSA-2262752,R-HSA-8878166,R-HSA-453279,R-HSA-5663202,R-HSA-1640170,R-HSA-69236,R-HSA-69231,R-HSA-9659787,R-HSA-9661069,R-HSA-8941326,R-HSA-9824446,R-HSA-69656,R-HSA-69202,R-HSA-8940973,R-HSA-2559586,R-HSA-212165,R-HSA-9687139,R-HSA-69206,R-HSA-9675126	ENSG00000139687		0.4559480982087158	12.0703125	3.2869935	1.7597607	3
TIMMDC1	R-HSA-611105,R-HSA-1428517,R-HSA-1430728	ENSG00000113845		0.04564932135562564	14.790643	21.180712	7.032288	0
BIRC3	R-HSA-5688426,R-HSA-162582,R-HSA-5689880,R-HSA-166016,R-HSA-168898,R-HSA-937061,R-HSA-166166,R-HSA-5357801,R-HSA-597592,R-HSA-168164	ENSG00000023445		0.3039653988058105	11.447095	4.952301	-0.29587612	3
CEBPA	R-HSA-74160,R-HSA-1266738,R-HSA-9843745,R-HSA-9616222,R-HSA-212165	ENSG00000245848		0.3039653988058105	15.750429	3.9793725	3.884242	3
ELN	R-HSA-1474228	ENSG00000049540		0.15198269940290526	13.173262	4.522077	1.2537445	-1
PPARG	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-1266738,R-HSA-1257604,R-HSA-1430728,R-HSA-9006925,R-HSA-162582,R-HSA-2990846,R-HSA-3108232,R-HSA-9843745,R-HSA-597592,R-HSA-6807070,R-HSA-212165,R-HSA-383280	ENSG00000132170		0.3039653988058105	14.618462	3.869666	0.2605861	3
ZNF300	R-HSA-73857,R-HSA-212436,R-HSA-74160	ENSG00000145908		0.41577613859238965	17.90719	0.641366	0.96746856	3
CD79A	R-HSA-1643685,R-HSA-983705,R-HSA-1280218,R-HSA-9824446	ENSG00000105369		0.3039653988058105	11.370738	3.5862777	-0.87367827	3
KAT7	R-HSA-3247509,R-HSA-4839726	ENSG00000136504		0.3039653988058105	15.311184	5.0463324	5.8065605	-1
WDCP	R-HSA-1643685,R-HSA-5663202	ENSG00000163026		0.3039653988058105	6.7265844	6.3754954	1.5909622	3
MECOM	R-HSA-3247509,R-HSA-4839726,R-HSA-1266738,R-HSA-1257604,R-HSA-3214841,R-HSA-9006925,R-HSA-162582,R-HSA-9830369,R-HSA-6807070	ENSG00000085276		0.4559480982087158	13.882372	5.974921	0.6810023	3
MYO5A	R-HSA-1266738,R-HSA-1643685,R-HSA-9730414,R-HSA-9856651	ENSG00000197535		0.3039653988058105	14.267925	4.596998	2.7026598	3
RPL22	R-HSA-1266738,R-HSA-156827,R-HSA-72613,R-HSA-72737,R-HSA-1430728,R-HSA-8953897,R-HSA-1643685,R-HSA-72766,R-HSA-2262752,R-HSA-71291,R-HSA-9824446,R-HSA-72706,R-HSA-9675108,R-HSA-72689,R-HSA-9711097	ENSG00000116251		0.4559480982087158	13.123438	2.7190826	-0.4902543	3
CUX1	R-HSA-1643685,R-HSA-1226099,R-HSA-5663202,R-HSA-5655302,R-HSA-1839124,R-HSA-6811442	ENSG00000257923		0.4559480982087158	10.224671	4.6107035	1.3405322	3
PIP4K2A	R-HSA-73857,R-HSA-212436,R-HSA-3700989,R-HSA-74160,R-HSA-1483255,R-HSA-1483257,R-HSA-1660499,R-HSA-1257604,R-HSA-5633007,R-HSA-1430728,R-HSA-9006925,R-HSA-162582,R-HSA-199418,R-HSA-6804758,R-HSA-6811558	ENSG00000150867		0.7249805392642934	14.7044935	4.5534697	0.026247509	3
RET	R-HSA-5683057,R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-1266738,R-HSA-5684996,R-HSA-5673001,R-HSA-162582,R-HSA-9830369,R-HSA-9634815,R-HSA-9675108	ENSG00000165731		0.4559480982087158	14.860396	4.2469234	1.3550942	3
TRIM33	R-HSA-73857,R-HSA-212436,R-HSA-74160,R-HSA-1266738,R-HSA-162582,R-HSA-9754189,R-HSA-9758941,R-HSA-9006936	ENSG00000197323		0.4559480982087158	14.748084	4.1253653	1.857967	3
CRTC3	R-HSA-8953897,R-HSA-2262752	ENSG00000140577		0.15198269940290526	10.796817	2.0473692	0.2985424	-1
EIF3C	R-HSA-156827,R-HSA-72613,R-HSA-72737,R-HSA-72766,R-HSA-72706,R-HSA-72689	ENSG00000184110		0.05164240912882571	13.750362	2.8224156	-0.77853453	3
PTPRB	R-HSA-6798695	ENSG00000127329		0.4559480982087158	10.386617	4.646639	-1.132675	-1
RAP1GDS1	R-HSA-162582	ENSG00000138698		0.4559480982087158	4.4006824	-11.900823	25.597815	1
SMO	R-HSA-500792,R-HSA-162582	ENSG00000128602		0.3039653988058105	5.927562	6.7166777	13.7022505	4
TRIM24	R-HSA-1643685,R-HSA-1226099,R-HSA-5663202,R-HSA-5655302,R-HSA-1839124	ENSG00000122779		0.3039653988058105	10.093197	4.848463	1.2370096	3
BCL9	R-HSA-195721,R-HSA-201681,R-HSA-201722,R-HSA-162582,R-HSA-3769402	ENSG00000116128		0.4559480982087158	-17.341208	10.707451	-0.70787114	-1
PRKAR1A	R-HSA-109582,R-HSA-983231,R-HSA-9856530,R-HSA-1430728,R-HSA-9006925,R-HSA-8953897,R-HSA-1643685,R-HSA-162582,R-HSA-5663202,R-HSA-9855142,R-HSA-9860931,R-HSA-418594,R-HSA-422356,R-HSA-418555,R-HSA-111885	ENSG00000108946		0.3039653988058105	12.899146	5.4070477	0.34354708	3
APC	R-HSA-195721,R-HSA-5688426,R-HSA-1643685,R-HSA-201681,R-HSA-162582,R-HSA-5663202,R-HSA-3769402,R-HSA-195253,R-HSA-5357801,R-HSA-109581,R-HSA-597592	ENSG00000134982		0.4559480982087158	14.017259	5.049485	-0.4023475	3
B2M	R-HSA-1643685,R-HSA-6798695,R-HSA-1280218,R-HSA-9824446	ENSG00000166710		0.3039653988058105	11.542967	3.6117408	-0.96643966	3
COL2A1	R-HSA-1266738,R-HSA-162582,R-HSA-6806834,R-HSA-186797,R-HSA-1280218,R-HSA-3000171,R-HSA-9006934,R-HSA-9675108,R-HSA-3000178,R-HSA-1474228,R-HSA-375165	ENSG00000139219		0.4559480982087158	13.552445	4.7607803	1.2580497	3
STAG1	R-HSA-9006931,R-HSA-8939211,R-HSA-9018519,R-HSA-1474165,R-HSA-69278,R-HSA-162582,R-HSA-1640170,R-HSA-2990846,R-HSA-3108232,R-HSA-1500620,R-HSA-597592	ENSG00000118007		0.3039653988058105	13.887361	5.800903	-0.60878855	3
